|6.6.6
in17a_1.tab                                                                                         
           2
T(K)    
   673.000800000000     
   8.08079191920000     
         100
P(bar)  
   30000.0500000000     
   505.049494950000     
         100
           5
rho,kg/m3      vp,km/s        vs,km/s        C1M(HP)        M(HP),vo%     
  3513.887       8.119630       4.562223                NaN            NaN
  3513.470       8.115365       4.559883                NaN            NaN
  3513.019       8.111231       4.557559                NaN            NaN
  3512.384       8.106865       4.555003                NaN            NaN
  3512.592       8.103878       4.553740                NaN            NaN
  3513.053       8.101529       4.553013                NaN            NaN
  3513.186       8.098244       4.551566                NaN            NaN
  3513.122       8.094957       4.549987                NaN            NaN
  3512.886       8.091313       4.548135                NaN            NaN
  3514.256       8.090611       4.548971                NaN            NaN
  3516.167       8.091295       4.550903                NaN            NaN
  3517.784       8.091300       4.552266                NaN            NaN
  3518.403       8.089415       4.552022                NaN            NaN
  3522.919       8.095366       4.558686                NaN            NaN
  3524.495       8.095501       4.560285                NaN            NaN
  3525.522       8.094712       4.560999                NaN            NaN
  3527.688       8.096197       4.563850                NaN            NaN
  3530.827       8.099867       4.568576                NaN            NaN
  3535.195       8.106195       4.575774                NaN            NaN
  3537.134       8.107320       4.578480                NaN            NaN
  3535.659       8.101039       4.574691                NaN            NaN
  3534.281       8.095154       4.571177                NaN            NaN
  3532.831       8.088922       4.567508                NaN            NaN
  3531.303       8.082402       4.563626                NaN            NaN
  3529.847       8.076178       4.559933                NaN            NaN
  3528.451       8.070183       4.556378                NaN            NaN
  3526.998       8.064074       4.552698                NaN            NaN
  3525.528       8.057735       4.549004                NaN            NaN
  3524.079       8.051576       4.545345                NaN            NaN
  3522.624       8.045420       4.541698                NaN            NaN
  3521.191       8.039288       4.538096                NaN            NaN
  3519.748       8.033261       4.534471                NaN            NaN
  3518.316       8.027148       4.530879                NaN            NaN
  3516.885       8.021085       4.527299                NaN            NaN
  3515.442       8.014969       4.523696                NaN            NaN
  3513.974       8.008760       4.520030                NaN            NaN
  3512.661       8.003239       4.516763                NaN            NaN
  3511.185       7.996980       4.513087                NaN            NaN
  3509.786       7.991123       4.509612                NaN            NaN
  3508.369       7.985116       4.506098                NaN            NaN
  3506.954       7.979171       4.502579                NaN            NaN
  3505.486       7.972950       4.498965                NaN            NaN
  3504.120       7.967194       4.495579                NaN            NaN
  3502.676       7.961131       4.492020                NaN            NaN
  3502.896       7.991225       4.518591                NaN            NaN
  3501.515       8.012257       4.538444                NaN            NaN
  3501.341       8.011948       4.538301                NaN            NaN
  3499.755       8.008469       4.536018                NaN            NaN
  3498.298       8.003572       4.533071                NaN            NaN
  3496.885       7.997545       4.529537                NaN            NaN
  3495.481       7.991511       4.526014                NaN            NaN
  3494.176       7.985913       4.522737                NaN            NaN
  3492.765       7.979891       4.519229                NaN            NaN
  3450.790       8.050731       4.460932      0.7925315       6.586428    
  3449.877       8.047143       4.458337      0.7880648       6.587024    
  3449.081       8.044634       4.456182       0.000000       6.586595    
  3448.302       8.041520       4.453881       0.000000       6.587247    
  3447.407       8.037940       4.451279       0.000000       6.587355    
  3446.479       8.034266       4.448603       0.000000       6.586648    
  3445.469       8.030270       4.445715       0.000000       6.585800    
  3444.682       8.027079       4.443424       0.000000       6.586905    
  3443.672       8.023127       4.440530       0.000000       6.586050    
  3442.881       8.019930       4.438238       0.000000       6.587155    
  3441.927       8.016226       4.435511       0.000000       6.586401    
  3441.132       8.013021       4.433216       0.000000       6.587506    
  3440.097       8.008921       4.430288       0.000000       6.586591    
  3439.103       8.005004       4.427457       0.000000       6.585485    
  3438.302       8.001787       4.425159       0.000000       6.586583    
  3437.233       7.997583       4.422140       0.000000       6.585586    
  3436.428       7.994358       4.419840       0.000000       6.586683    
  3435.455       7.990604       4.417102       0.000000       6.586128    
  3434.351       7.986267       4.414004       0.000000       6.585049    
  3433.542       7.983030       4.411701       0.000000       6.586141    
  3432.430       7.978689       4.408591       0.000000       6.585272    
  3431.599       7.975396       4.406213       0.000000       6.585006    
  3432.705       7.978367       4.409122      0.6376871       6.590399    
  3436.844       7.991348       4.420224      0.6294982       6.601199    
  3436.033       7.988071       4.417913      0.6294982       6.602275    
  3440.751       8.002972       4.430609      0.6227982       6.617953    
  3439.942       7.999671       4.428296      0.6227982       6.619023    
  3449.945       8.031956       4.455142      0.6123760       6.635694    
  3451.751       8.037022       4.459855      0.6108871       6.640049    
  3456.299       8.051131       4.472008       0.000000       6.648954    
  3461.903       8.068637       4.486948       0.000000       6.655990    
  3468.473       8.089181       4.504465       0.000000       6.659300    
  3474.779       8.108687       4.521347       0.000000       6.665078    
  3480.867       8.127748       4.537639       0.000000       6.670363    
  3489.704       8.156755       4.561306       0.000000       6.676959    
  3496.049       8.163784       4.570976      0.4775193       5.803486    
  3503.118       8.176448       4.583908      0.4702568       5.098018    
  3511.446       8.190162       4.598381      0.4626463       4.191073    
  3519.798       8.203548       4.612654      0.4546081       3.265148    
  3524.703       8.208008       4.619056      0.4490277       2.530272    
  3522.892       8.192773       4.608612      0.4484739       1.979096    
  3521.559       8.179975       4.600060      0.4478470       1.508718    
  3519.901       8.165247       4.590028      0.4475501      0.9602745    
  3518.313       8.151303       4.580654      0.4467886      0.4659464    
  3516.871       8.138348       4.571871                NaN            NaN
  3516.206       8.133713       4.569152                NaN            NaN
  3515.748       8.129470       4.566766                NaN            NaN
  3515.395       8.125628       4.564614                NaN            NaN
  3514.689       8.120825       4.561818                NaN            NaN
  3514.205       8.116595       4.559451                NaN            NaN
  3513.969       8.112944       4.557509                NaN            NaN
  3513.731       8.109083       4.555508                NaN            NaN
  3514.230       8.106433       4.554634                NaN            NaN
  3513.569       8.102059       4.552095                NaN            NaN
  3513.622       8.098856       4.550653                NaN            NaN
  3514.133       8.096625       4.550033                NaN            NaN
  3514.559       8.094242       4.549297                NaN            NaN
  3516.705       8.095142       4.551458                NaN            NaN
  3516.198       8.091097       4.549270                NaN            NaN
  3517.317       8.090183       4.549857                NaN            NaN
  3519.096       8.090564       4.551627                NaN            NaN
  3521.909       8.093103       4.555307                NaN            NaN
  3527.992       8.102460       4.564995                NaN            NaN
  3529.386       8.102342       4.566415                NaN            NaN
  3531.212       8.103279       4.568787                NaN            NaN
  3534.098       8.106548       4.573216                NaN            NaN
  3538.161       8.112327       4.579926                NaN            NaN
  3537.906       8.108667       4.578462                NaN            NaN
  3536.569       8.102881       4.575057                NaN            NaN
  3535.071       8.096490       4.571230                NaN            NaN
  3533.684       8.090583       4.567681                NaN            NaN
  3532.214       8.084287       4.563948                NaN            NaN
  3530.651       8.077609       4.559998                NaN            NaN
  3529.322       8.071899       4.556618                NaN            NaN
  3527.785       8.065319       4.552741                NaN            NaN
  3526.383       8.059321       4.549199                NaN            NaN
  3524.948       8.053199       4.545580                NaN            NaN
  3523.448       8.046919       4.541815                NaN            NaN
  3522.066       8.040921       4.538333                NaN            NaN
  3520.601       8.034782       4.534647                NaN            NaN
  3519.161       8.028615       4.531035                NaN            NaN
  3517.712       8.022479       4.527409                NaN            NaN
  3516.352       8.016758       4.524014                NaN            NaN
  3514.801       8.010157       4.520148                NaN            NaN
  3513.477       8.004549       4.516842                NaN            NaN
  3512.017       7.998345       4.513205                NaN            NaN
  3510.632       7.992478       4.509758                NaN            NaN
  3509.158       7.986300       4.506105                NaN            NaN
  3507.788       7.980510       4.502711                NaN            NaN
  3506.375       7.974546       4.499209                NaN            NaN
  3504.995       7.968725       4.495806                NaN            NaN
  3506.153       8.022705       4.542656                NaN            NaN
  3505.155       8.024069       4.545203                NaN            NaN
  3503.729       8.017877       4.541565                NaN            NaN
  3502.391       8.012014       4.538137                NaN            NaN
  3501.075       8.006246       4.534765                NaN            NaN
  3499.738       8.000419       4.531344                NaN            NaN
  3498.256       7.995834       4.528538                NaN            NaN
  3496.639       7.992020       4.526106                NaN            NaN
  3494.640       7.985760       4.522364                NaN            NaN
  3452.303       8.055996       4.463014       0.000000       6.587067    
  3451.446       8.052532       4.460500       0.000000       6.587139    
  3450.451       8.048528       4.457604       0.000000       6.586374    
  3449.675       8.045353       4.455317       0.000000       6.587483    
  3448.867       8.042154       4.452935       0.000000       6.587487    
  3447.936       8.038542       4.450232       0.000000       6.586793    
  3447.018       8.034936       4.447577       0.000000       6.585864    
  3446.233       8.031746       4.445287       0.000000       6.586968    
  3445.203       8.027651       4.442346       0.000000       6.585997    
  3444.413       8.024455       4.440055       0.000000       6.587101    
  3443.420       8.020599       4.437247       0.000000       6.586863    
  3442.626       8.017396       4.434954       0.000000       6.587968    
  3441.688       8.013747       4.432220       0.000000       6.586455    
  3440.639       8.009578       4.429281       0.000000       6.585764    
  3439.839       8.006361       4.426984       0.000000       6.586862    
  3438.841       8.002491       4.424118       0.000000       6.585736    
  3438.038       7.999266       4.421819       0.000000       6.586831    
  3436.978       7.995065       4.418856       0.000000       6.585995    
  3435.970       7.991127       4.416007       0.000000       6.584942    
  3435.162       7.987890       4.413704       0.000000       6.586031    
  3434.068       7.983571       4.410654       0.000000       6.585228    
  3432.996       7.979276       4.407677       0.000000       6.585273    
  3433.515       7.980626       4.408919      0.6384315       6.588451    
  3437.354       7.992670       4.419201      0.6302426       6.598610    
  3436.544       7.989396       4.416892      0.6302426       6.599685    
  3441.283       8.004323       4.429693      0.6227982       6.615220    
  3440.475       8.001025       4.427381      0.6227982       6.616290    
  3451.334       8.035833       4.456626      0.6123760       6.635945    
  3452.430       8.038787       4.459409      0.6108871       6.638624    
  3456.897       8.052661       4.471330       0.000000       6.647598    
  3462.249       8.069387       4.485605       0.000000       6.655347    
  3467.505       8.085817       4.499624       0.000000       6.663362    
  3474.791       8.108549       4.519117       0.000000       6.665621    
  3480.799       8.127615       4.535186       0.000000       6.672174    
  3487.596       8.148838       4.553449       0.000000       6.676873    
  3495.233       8.166022       4.569678      0.4794554       6.176801    
  3502.927       8.179738       4.583618      0.4722123       5.394068    
  3511.682       8.193922       4.598832      0.4644358       4.430845    
  3519.360       8.206819       4.612302      0.4566162       3.619402    
  3526.862       8.218385       4.624586      0.4484297       2.747816    
  3525.265       8.204901       4.615690      0.4479622       2.295753    
  3523.675       8.190823       4.606157      0.4473335       1.784646    
  3522.068       8.176280       4.596233      0.4469413       1.237278    
  3520.474       8.162369       4.586835      0.4462798      0.7429771    
  3518.846       8.147825       4.577047      0.4459785      0.2065591    
  3517.904       8.139740       4.571698                NaN            NaN
  3517.450       8.135458       4.569379                NaN            NaN
  3516.949       8.131273       4.566923                NaN            NaN
  3516.553       8.127073       4.564584                NaN            NaN
  3515.845       8.122540       4.561877                NaN            NaN
  3515.649       8.118803       4.559953                NaN            NaN
  3515.228       8.114822       4.557739                NaN            NaN
  3515.663       8.112047       4.556769                NaN            NaN
  3514.936       8.107568       4.554116                NaN            NaN
  3514.968       8.104252       4.552589                NaN            NaN
  3516.250       8.103461       4.553244                NaN            NaN
  3515.644       8.099206       4.550824                NaN            NaN
  3517.615       8.099736       4.552689                NaN            NaN
  3516.926       8.095266       4.550157                NaN            NaN
  3517.945       8.094113       4.550522                NaN            NaN
  3521.678       8.098465       4.555765                NaN            NaN
  3521.068       8.094238       4.553421                NaN            NaN
  3526.452       8.101973       4.561749                NaN            NaN
  3526.122       8.098470       4.560143                NaN            NaN
  3529.477       8.102421       4.565142                NaN            NaN
  3534.326       8.109650       4.573078                NaN            NaN
  3536.944       8.112372       4.577039                NaN            NaN
  3540.848       8.119701       4.584059                NaN            NaN
  3538.717       8.110158       4.578546                NaN            NaN
  3537.399       8.104428       4.575185                NaN            NaN
  3535.895       8.097998       4.571357                NaN            NaN
  3534.391       8.091560       4.567533                NaN            NaN
  3532.930       8.085296       4.563815                NaN            NaN
  3531.492       8.079189       4.560150                NaN            NaN
  3530.067       8.073002       4.556556                NaN            NaN
  3528.683       8.067095       4.553039                NaN            NaN
  3527.235       8.060884       4.549373                NaN            NaN
  3525.759       8.054653       4.545671                NaN            NaN
  3524.395       8.048742       4.542226                NaN            NaN
  3522.951       8.042575       4.538587                NaN            NaN
  3521.533       8.036551       4.535037                NaN            NaN
  3520.063       8.030344       4.531337                NaN            NaN
  3518.644       8.024346       4.527785                NaN            NaN
  3517.171       8.018053       4.524101                NaN            NaN
  3515.793       8.012190       4.520670                NaN            NaN
  3514.249       8.005659       4.516825                NaN            NaN
  3512.902       7.999941       4.513456                NaN            NaN
  3511.531       7.994185       4.510045                NaN            NaN
  3510.069       7.987939       4.506422                NaN            NaN
  3508.755       7.982382       4.503154                NaN            NaN
  3507.276       7.976135       4.499495                NaN            NaN
  3508.637       8.037090       4.552483                NaN            NaN
  3507.337       8.031373       4.549128                NaN            NaN
  3505.953       8.025314       4.545583                NaN            NaN
  3504.678       8.019710       4.542293                NaN            NaN
  3503.295       8.013663       4.538758                NaN            NaN
  3501.987       8.007933       4.535401                NaN            NaN
  3500.577       8.001791       4.531811                NaN            NaN
  3499.292       7.996141       4.528516                NaN            NaN
  3497.979       7.990393       4.525158                NaN            NaN
  3453.684       8.059891       4.464473       0.000000       6.587201    
  3452.795       8.056383       4.461864       0.000000       6.586444    
  3452.023       8.053212       4.459579       0.000000       6.587553    
  3451.016       8.049163       4.456658       0.000000       6.586616    
  3450.239       8.045986       4.454372       0.000000       6.587724    
  3449.309       8.042376       4.451671       0.000000       6.587032    
  3448.393       8.038773       4.449017       0.000000       6.586106    
  3447.609       8.035585       4.446728       0.000000       6.587211    
  3446.580       8.031493       4.443789       0.000000       6.586242    
  3445.792       8.028299       4.441499       0.000000       6.587346    
  3444.800       8.024446       4.438693       0.000000       6.587110    
  3444.007       8.021244       4.436401       0.000000       6.588215    
  3443.070       8.017598       4.433669       0.000000       6.586705    
  3442.023       8.013432       4.430731       0.000000       6.586017    
  3441.225       8.010218       4.428436       0.000000       6.587115    
  3440.227       8.006350       4.425571       0.000000       6.585991    
  3439.426       8.003128       4.423273       0.000000       6.587087    
  3438.368       7.998929       4.420312       0.000000       6.586254    
  3437.360       7.994995       4.417465       0.000000       6.585203    
  3436.554       7.991760       4.415163       0.000000       6.586292    
  3435.462       7.987444       4.412115       0.000000       6.585492    
  3434.625       7.984215       4.409714       0.000000       6.585447    
  3434.910       7.984503       4.410384      0.6384315       6.588716    
  3438.748       7.996546       4.420670      0.6302426       6.598874    
  3437.939       7.993274       4.418361      0.6302426       6.599949    
  3442.675       8.008199       4.431168      0.6227982       6.615480    
  3441.869       8.004903       4.428857      0.6227982       6.616550    
  3451.399       8.035846       4.454401      0.6123760       6.632517    
  3453.096       8.040568       4.458915      0.6101426       6.639140    
  3456.731       8.052019       4.468763       0.000000       6.656812    
  3461.930       8.068309       4.482596       0.000000       6.663376    
  3467.522       8.085596       4.497387       0.000000       6.663329    
  3473.579       8.104575       4.513588       0.000000       6.669647    
  3480.853       8.127295       4.533071       0.000000       6.671726    
  3487.441       8.148050       4.550751       0.000000       6.676362    
  3494.936       8.169558       4.569476      0.4809329       6.511118    
  3502.959       8.183529       4.583800      0.4741382       5.667462    
  3509.787       8.194644       4.595811      0.4662455       4.927575    
  3518.677       8.209726       4.611360      0.4589881       3.978755    
  3526.122       8.221904       4.624191      0.4507336       3.175414    
  3527.464       8.216010       4.621941      0.4474837       2.566051    
  3525.738       8.200971       4.611745      0.4470037       2.015339    
  3524.272       8.187460       4.602508      0.4466838       1.514644    
  3522.764       8.173842       4.593391      0.4460175       1.027883    
  3521.047       8.159009       4.583295      0.4454155      0.4855670    
  3519.628       8.145755       4.574352                NaN            NaN
  3519.077       8.141480       4.571869                NaN            NaN
  3518.543       8.137174       4.569380                NaN            NaN
  3518.043       8.132885       4.566874                NaN            NaN
  3517.463       8.128499       4.564364                NaN            NaN
  3517.041       8.124315       4.562057                NaN            NaN
  3516.706       8.120360       4.559923                NaN            NaN
  3517.064       8.117788       4.558961                NaN            NaN
  3516.443       8.113343       4.556398                NaN            NaN
  3516.315       8.109726       4.554632                NaN            NaN
  3516.749       8.107383       4.553877                NaN            NaN
  3516.878       8.104448       4.552630                NaN            NaN
  3518.208       8.103747       4.553439                NaN            NaN
  3517.943       8.100086       4.551588                NaN            NaN
  3518.782       8.098511       4.551636                NaN            NaN
  3520.309       8.098387       4.552946                NaN            NaN
  3521.405       8.097544       4.553590                NaN            NaN
  3527.246       8.106372       4.562835                NaN            NaN
  3526.196       8.101377       4.559787                NaN            NaN
  3528.492       8.103037       4.562872                NaN            NaN
  3534.342       8.112316       4.572601                NaN            NaN
  3535.304       8.111481       4.573383                NaN            NaN
  3539.988       8.118631       4.581356                NaN            NaN
  3541.052       8.118109       4.582576                NaN            NaN
  3539.615       8.111911       4.578871                NaN            NaN
  3538.122       8.105541       4.575046                NaN            NaN
  3536.651       8.099212       4.571310                NaN            NaN
  3535.189       8.092952       4.567579                NaN            NaN
  3533.848       8.087152       4.564174                NaN            NaN
  3532.393       8.080877       4.560471                NaN            NaN
  3530.968       8.074782       4.556855                NaN            NaN
  3529.546       8.068701       4.553258                NaN            NaN
  3528.123       8.062564       4.549660                NaN            NaN
  3526.689       8.056425       4.546038                NaN            NaN
  3525.263       8.050338       4.542443                NaN            NaN
  3523.834       8.044253       4.538851                NaN            NaN
  3522.393       8.038079       4.535232                NaN            NaN
  3520.933       8.031914       4.531548                NaN            NaN
  3519.498       8.025791       4.527956                NaN            NaN
  3518.109       8.019864       4.524488                NaN            NaN
  3516.603       8.013468       4.520726                NaN            NaN
  3515.148       8.007295       4.517104                NaN            NaN
  3513.833       8.001758       4.513794                NaN            NaN
  3512.443       7.995801       4.510340                NaN            NaN
  3511.033       7.989816       4.506840                NaN            NaN
  3510.006       7.995406       4.513263                NaN            NaN
  3510.910       8.044758       4.556630                NaN            NaN
  3509.589       8.038962       4.553218                NaN            NaN
  3508.223       8.032969       4.549707                NaN            NaN
  3506.850       8.026946       4.546186                NaN            NaN
  3505.464       8.020883       4.542638                NaN            NaN
  3504.211       8.015358       4.539399                NaN            NaN
  3502.848       8.009391       4.535914                NaN            NaN
  3501.477       8.003390       4.532413                NaN            NaN
  3500.199       7.997770       4.529130                NaN            NaN
  3455.122       8.064010       4.466095       0.000000       6.587567    
  3454.221       8.060498       4.463420       0.000000       6.586440    
  3453.450       8.057329       4.461136       0.000000       6.587547    
  3452.499       8.053535       4.458365       0.000000       6.586817    
  3451.723       8.050359       4.456080       0.000000       6.587925    
  3450.786       8.046649       4.453352       0.000000       6.587034    
  3449.857       8.043050       4.450657       0.000000       6.586193    
  3449.074       8.039863       4.448369       0.000000       6.587297    
  3448.155       8.036254       4.445720       0.000000       6.586460    
  3447.368       8.033060       4.443430       0.000000       6.587562    
  3446.325       8.028896       4.440471       0.000000       6.586674    
  3445.534       8.025695       4.438180       0.000000       6.587776    
  3444.550       8.021895       4.435377       0.000000       6.587145    
  3443.605       8.018239       4.432640       0.000000       6.585868    
  3442.808       8.015026       4.430345       0.000000       6.586964    
  3441.725       8.010741       4.427298       0.000000       6.586199    
  3440.925       8.007520       4.425001       0.000000       6.587294    
  3439.960       8.003752       4.422246       0.000000       6.586218    
  3438.901       7.999608       4.419271       0.000000       6.585487    
  3438.096       7.996374       4.416971       0.000000       6.586576    
  3437.088       7.992373       4.414142       0.000000       6.585481    
  3436.018       7.988086       4.411176       0.000000       6.585712    
  3435.744       7.986694       4.410295      0.6384315       6.587109    
  3439.544       7.998790       4.420432      0.6302426       6.597010    
  3438.736       7.995521       4.418125      0.6302426       6.598084    
  3443.177       8.009590       4.430112      0.6220537       6.612526    
  3442.371       8.006298       4.427802      0.6220537       6.613595    
  3452.785       8.039714       4.455882      0.6123760       6.632767    
  3453.831       8.042477       4.458579      0.6101426       6.637301    
  3457.550       8.054154       4.468496       0.000000       6.646966    
  3462.218       8.068804       4.481003       0.000000       6.658756    
  3468.022       8.086926       4.496471       0.000000       6.662429    
  3473.749       8.104871       4.511774       0.000000       6.669589    
  3481.102       8.128110       4.531451       0.000000       6.671215    
  3487.642       8.148533       4.549043       0.000000       6.676528    
  3494.542       8.170319       4.567624       0.000000       6.680651    
  3502.844       8.187385       4.583978      0.4758756       5.983155    
  3510.530       8.200255       4.597399      0.4687745       5.148687    
  3518.139       8.212192       4.610512      0.4602818       4.303951    
  3525.795       8.225462       4.624247      0.4521420       3.527439    
  3529.553       8.226590       4.627766      0.4470070       2.819145    
  3528.040       8.212608       4.618335      0.4466628       2.305489    
  3526.359       8.197870       4.608355      0.4462357       1.767408    
  3524.818       8.184302       4.599033      0.4454311       1.280901    
  3523.263       8.169898       4.589447      0.4451712      0.7454928    
  3521.700       8.155726       4.579853      0.4448412      0.2226924    
  3520.678       8.147070       4.574244                NaN            NaN
  3520.186       8.142893       4.571827                NaN            NaN
  3519.687       8.138702       4.569387                NaN            NaN
  3519.083       8.134165       4.566793                NaN            NaN
  3518.630       8.130084       4.564488                NaN            NaN
  3518.804       8.126918       4.563125                NaN            NaN
  3518.561       8.123184       4.561174                NaN            NaN
  3518.535       8.119933       4.559616                NaN            NaN
  3517.908       8.115523       4.557077                NaN            NaN
  3518.694       8.113740       4.556889                NaN            NaN
  3519.251       8.111654       4.556363                NaN            NaN
  3519.666       8.109317       4.555659                NaN            NaN
  3520.408       8.107551       4.555514                NaN            NaN
  3520.003       8.103700       4.553441                NaN            NaN
  3522.556       8.105650       4.556601                NaN            NaN
  3524.527       8.106573       4.558756                NaN            NaN
  3525.756       8.106045       4.559727                NaN            NaN
  3525.869       8.103299       4.558762                NaN            NaN
  3528.464       8.105612       4.562329                NaN            NaN
  3533.966       8.114161       4.571398                NaN            NaN
  3536.031       8.115614       4.574232                NaN            NaN
  3539.387       8.119871       4.579625                NaN            NaN
  3542.799       8.124519       4.585327                NaN            NaN
  3541.840       8.119461       4.582583                NaN            NaN
  3540.423       8.113349       4.578951                NaN            NaN
  3538.893       8.106799       4.575053                NaN            NaN
  3537.501       8.100800       4.571491                NaN            NaN
  3536.054       8.094594       4.567813                NaN            NaN
  3534.649       8.088472       4.564227                NaN            NaN
  3533.224       8.082361       4.560593                NaN            NaN
  3531.814       8.076304       4.557024                NaN            NaN
  3530.400       8.070230       4.553434                NaN            NaN
  3528.947       8.064008       4.549763                NaN            NaN
  3527.547       8.057977       4.546221                NaN            NaN
  3526.081       8.051696       4.542534                NaN            NaN
  3524.669       8.045650       4.538977                NaN            NaN
  3523.216       8.039426       4.535331                NaN            NaN
  3521.807       8.033443       4.531785                NaN            NaN
  3520.411       8.027495       4.528274                NaN            NaN
  3518.918       8.021127       4.524538                NaN            NaN
  3517.460       8.014918       4.520908                NaN            NaN
  3516.094       8.009126       4.517485                NaN            NaN
  3514.667       8.003015       4.513918                NaN            NaN
  3513.214       7.996902       4.510316                NaN            NaN
  3513.067       8.023988       4.535143                NaN            NaN
  3513.147       8.052301       4.560694                NaN            NaN
  3511.810       8.046425       4.557237                NaN            NaN
  3510.383       8.040177       4.553579                NaN            NaN
  3509.102       8.034509       4.550262                NaN            NaN
  3507.711       8.028418       4.546696                NaN            NaN
  3506.381       8.022577       4.543275                NaN            NaN
  3505.069       8.016807       4.539899                NaN            NaN
  3503.700       8.010799       4.536397                NaN            NaN
  3502.414       8.005128       4.533089                NaN            NaN
  3456.486       8.067825       4.467524       0.000000       6.587796    
  3455.585       8.064315       4.464852       0.000000       6.586672    
  3454.815       8.061148       4.462569       0.000000       6.587780    
  3453.866       8.057357       4.459799       0.000000       6.587052    
  3453.091       8.054183       4.457515       0.000000       6.588160    
  3452.155       8.050476       4.454789       0.000000       6.587272    
  3451.227       8.046879       4.452096       0.000000       6.586434    
  3450.446       8.043695       4.449809       0.000000       6.587537    
  3449.528       8.040088       4.447161       0.000000       6.586703    
  3448.743       8.036896       4.444872       0.000000       6.587805    
  3447.702       8.032735       4.441915       0.000000       6.586920    
  3446.912       8.029536       4.439625       0.000000       6.588021    
  3445.929       8.025739       4.436824       0.000000       6.587393    
  3444.985       8.022086       4.434089       0.000000       6.586119    
  3444.190       8.018874       4.431795       0.000000       6.587215    
  3443.108       8.014592       4.428750       0.000000       6.586453    
  3442.309       8.011373       4.426454       0.000000       6.587548    
  3441.345       8.007609       4.423700       0.000000       6.586475    
  3440.288       8.003467       4.420728       0.000000       6.585746    
  3439.484       8.000236       4.418428       0.000000       6.586835    
  3438.477       7.996237       4.415601       0.000000       6.585744    
  3437.653       7.993083       4.413212       0.000000       6.585902    
  3439.137       7.997327       4.417149      0.6346725       6.590966    
  3438.330       7.994071       4.414844      0.6346725       6.592043    
  3440.127       7.999391       4.419592      0.6302426       6.598346    
  3444.566       8.013458       4.431584      0.6220537       6.612785    
  3443.761       8.010168       4.429274      0.6220537       6.613854    
  3453.054       8.040292       4.454284      0.6004648       6.631564    
  3453.962       8.042597       4.456564      0.6012093       6.634142    
  3457.800       8.054646       4.466949       0.000000       6.650205    
  3463.248       8.071728       4.481481       0.000000       6.656743    
  3468.477       8.088109       4.495424       0.000000       6.663291    
  3475.163       8.109008       4.513241       0.000000       6.663064    
  3481.517       8.129226       4.530257       0.000000       6.668482    
  3487.204       8.146937       4.545583       0.000000       6.678185    
  3494.362       8.169590       4.564870       0.000000       6.681873    
  3501.899       8.189031       4.582329      0.4776414       6.354571    
  3509.204       8.201512       4.595348      0.4703105       5.580769    
  3517.751       8.215282       4.610072      0.4621771       4.627624    
  3525.331       8.228709       4.623773      0.4543695       3.872755    
  3531.754       8.237704       4.634028      0.4466320       3.095036    
  3530.182       8.223465       4.624420      0.4461505       2.576245    
  3528.451       8.208581       4.614337      0.4456236       2.037221    
  3527.084       8.195645       4.605640      0.4452617       1.563372    
  3525.428       8.180912       4.595556      0.4445256       1.024455    
  3523.838       8.166523       4.585897      0.4444574      0.4970217    
  3521.711       8.151568       4.576132      0.4450538      0.9846770E-01
  3521.806       8.148675       4.574216                NaN            NaN
  3521.278       8.144415       4.571754                NaN            NaN
  3520.722       8.140088       4.569259                NaN            NaN
  3520.416       8.136193       4.567159                NaN            NaN
  3520.204       8.132458       4.565224                NaN            NaN
  3520.220       8.129204       4.563690                NaN            NaN
  3519.536       8.124719       4.561051                NaN            NaN
  3519.787       8.121882       4.559931                NaN            NaN
  3519.522       8.118231       4.558045                NaN            NaN
  3520.083       8.116053       4.557468                NaN            NaN
  3520.974       8.114621       4.557564                NaN            NaN
  3520.549       8.110728       4.555463                NaN            NaN
  3521.917       8.110211       4.556447                NaN            NaN
  3522.062       8.107453       4.555362                NaN            NaN
  3524.173       8.108529       4.557735                NaN            NaN
  3524.553       8.106274       4.557157                NaN            NaN
  3526.471       8.107154       4.559401                NaN            NaN
  3528.986       8.109331       4.562788                NaN            NaN
  3533.309       8.115428       4.569647                NaN            NaN
  3535.878       8.117867       4.573375                NaN            NaN
  3537.425       8.118354       4.575325                NaN            NaN
  3541.356       8.123982       4.581903                NaN            NaN
  3543.955       8.126607       4.586032                NaN            NaN
  3542.579       8.120631       4.582499                NaN            NaN
  3541.180       8.114574       4.578889                NaN            NaN
  3539.690       8.108171       4.575095                NaN            NaN
  3538.294       8.102141       4.571530                NaN            NaN
  3536.901       8.096057       4.567979                NaN            NaN
  3535.482       8.089947       4.564366                NaN            NaN
  3534.068       8.083861       4.560769                NaN            NaN
  3532.670       8.077830       4.557199                NaN            NaN
  3531.202       8.071563       4.553489                NaN            NaN
  3529.778       8.065460       4.549876                NaN            NaN
  3528.340       8.059225       4.546254                NaN            NaN
  3526.942       8.053249       4.542717                NaN            NaN
  3525.478       8.046928       4.539042                NaN            NaN
  3524.067       8.040927       4.535486                NaN            NaN
  3522.656       8.034917       4.531936                NaN            NaN
  3521.215       8.028731       4.528314                NaN            NaN
  3519.761       8.022602       4.524677                NaN            NaN
  3518.351       8.016600       4.521138                NaN            NaN
  3516.929       8.010504       4.517583                NaN            NaN
  3515.530       8.004514       4.514108                NaN            NaN
  3516.225       8.052560       4.556882                NaN            NaN
  3515.339       8.059679       4.564653                NaN            NaN
