|6.6.6
in17a_1.tab                                                                                         
           2
T(K)    
   673.000800000000     
   8.08079191920000     
         100
P(bar)  
   30000.0500000000     
   505.049494950000     
         100
           5
rho,kg/m3      vp,km/s        vs,km/s        C1M(HP)        M(HP),vo%     
  3406.714       7.887178       4.371588      0.4813537       6.583005    
  3413.486       7.924044       4.395618      0.6466204       6.598847    
  3413.954       7.924938       4.396712      0.6451315       6.600061    
  3419.092       7.940444       4.410405      0.6384315       6.612329    
  3425.702       7.960509       4.427993      0.6332204       6.624866    
  3424.881       7.957181       4.425673      0.6332204       6.625951    
  3433.235       7.982782       4.447878      0.6272648       6.636928    
  3439.288       8.000742       4.463903      0.6347093       6.643338    
  3445.521       8.019603       4.480376       0.000000       6.645250    
  3445.443       8.017889       4.480048       0.000000       6.645643    
  3462.854       8.057021       4.515665      0.4879107       5.362064    
  3472.812       8.073586       4.532763      0.4816891       4.246134    
  3480.840       8.083746       4.545093      0.4731051       3.184307    
  3490.483       8.099136       4.561149      0.4662323       2.073748    
  3497.831       8.107621       4.571815      0.4585244       1.067499    
  3496.291       8.094495       4.562979      0.4577537      0.5944481    
  3494.673       8.081084       4.553978      0.4570105      0.1185899    
  3493.738       8.074003       4.549503                NaN            NaN
  3493.091       8.069179       4.546672                NaN            NaN
  3492.473       8.064279       4.543835                NaN            NaN
  3491.616       8.059062       4.540714                NaN            NaN
  3491.080       8.054473       4.538103                NaN            NaN
  3490.559       8.049908       4.535511                NaN            NaN
  3490.223       8.045669       4.533212                NaN            NaN
  3490.019       8.041673       4.531108                NaN            NaN
  3490.029       8.038028       4.529337                NaN            NaN
  3490.027       8.034402       4.527604                NaN            NaN
  3490.314       8.031288       4.526319                NaN            NaN
  3492.943       8.032602       4.528765                NaN            NaN
  3491.566       8.026494       4.524945                NaN            NaN
  3492.981       8.025678       4.525607                NaN            NaN
  3494.411       8.025038       4.526382                NaN            NaN
  3496.978       8.026534       4.529033                NaN            NaN
  3499.190       8.027370       4.531194                NaN            NaN
  3502.414       8.030313       4.535167                NaN            NaN
  3507.456       8.036995       4.542315                NaN            NaN
  3512.531       8.043879       4.549751                NaN            NaN
  3516.865       8.049535       4.556136                NaN            NaN
  3515.343       8.043190       4.552303                NaN            NaN
  3513.800       8.036761       4.548420                NaN            NaN
  3512.332       8.030696       4.544751                NaN            NaN
  3510.766       8.024148       4.540813                NaN            NaN
  3509.282       8.018002       4.537105                NaN            NaN
  3507.795       8.011846       4.533390                NaN            NaN
  3506.294       8.005644       4.529648                NaN            NaN
  3504.784       7.999439       4.525888                NaN            NaN
  3503.284       7.993272       4.522158                NaN            NaN
  3501.815       7.987217       4.518528                NaN            NaN
  3500.370       7.981302       4.514948                NaN            NaN
  3498.928       7.975351       4.511381                NaN            NaN
  3497.385       7.969000       4.507566                NaN            NaN
  3495.987       7.963316       4.504127                NaN            NaN
  3494.501       7.957203       4.500467                NaN            NaN
  3493.108       7.951510       4.497051                NaN            NaN
  3491.638       7.945559       4.493453                NaN            NaN
  3490.221       7.939763       4.489976                NaN            NaN
  3488.043       7.931094       4.484774                NaN            NaN
  3471.896       7.849215       4.470032                NaN            NaN
  3470.401       7.842468       4.466683                NaN            NaN
  3470.820       7.890220       4.504407                NaN            NaN
  3469.947       7.898545       4.512418                NaN            NaN
  3468.479       7.891780       4.509100                NaN            NaN
  3467.027       7.885057       4.505831                NaN            NaN
  3465.583       7.878364       4.502592                NaN            NaN
  3464.166       7.871712       4.499425                NaN            NaN
  3462.717       7.864962       4.496205                NaN            NaN
  3461.240       7.857945       4.492890                NaN            NaN
  3459.857       7.851334       4.489830                NaN            NaN
  3458.455       7.844578       4.486726                NaN            NaN
  3457.070       7.837877       4.483686                NaN            NaN
  3455.651       7.830944       4.480564                NaN            NaN
  3454.242       7.823953       4.477456                NaN            NaN
  3452.806       7.816862       4.474322                NaN            NaN
  3451.424       7.809827       4.471299                NaN            NaN
  3450.020       7.802625       4.468236                NaN            NaN
  3448.747       7.795898       4.465511                NaN            NaN
  3447.301       7.788259       4.462347                NaN            NaN
  3445.913       7.780858       4.459383                NaN            NaN
  3444.564       7.773392       4.456499                NaN            NaN
  3443.178       7.765526       4.453508                NaN            NaN
  3441.867       7.757908       4.450759                NaN            NaN
  3424.680       7.930801       4.410787      0.7724315       6.589929    
  3423.916       7.930903       4.409671      0.7612648       6.588120    
  3423.132       7.927652       4.407292      0.7612648       6.589308    
  3422.483       7.928356       4.406474      0.7486146       6.586166    
  3421.693       7.925103       4.404100      0.7486146       6.587340    
  3420.764       7.923679       4.402369      0.7389315       6.587481    
  3419.909       7.922974       4.400925      0.7284827       6.585955    
  3419.111       7.919720       4.398560      0.7284827       6.587122    
  3418.160       7.918198       4.396678      0.7165982       6.585916    
  3417.357       7.914941       4.394315      0.7165982       6.587080    
  3416.411       7.913370       4.392456      0.7054315       6.585358    
  3415.602       7.910108       4.390096      0.7054315       6.586515    
  3414.703       7.909170       4.388596      0.6927760       6.585365    
  3413.800       7.908084       4.386961      0.6816093       6.583946    
  3412.985       7.904819       4.384609      0.6816093       6.585089    
  3412.056       7.903214       4.382802      0.6689537       6.583817    
  3411.236       7.899945       4.380451      0.6689537       6.584956    
  3410.257       7.898293       4.378557      0.6570426       6.583767    
  3409.134       7.895874       4.376116      0.6443871       6.582604    
  3410.552       7.906281       4.382118      0.4835871       6.586679    
  3414.461       7.926861       4.395813      0.6473648       6.597316    
  3415.381       7.928890       4.398199      0.6451315       6.600341    
  3420.517       7.944396       4.411897      0.6384315       6.612606    
  3427.124       7.964461       4.429492      0.6332204       6.625138    
  3426.304       7.961136       4.427174      0.6332204       6.626223    
  3434.653       7.986736       4.449387      0.6272648       6.637191    
  3437.935       7.996838       4.457959      0.6357186       6.641341    
  3444.906       8.017856       4.476472       0.000000       6.647331    
  3451.694       8.038385       4.494335       0.000000       6.647518    
  3461.238       8.057595       4.512693      0.4897367       5.805544    
  3469.810       8.071346       4.527389      0.4830545       4.830048    
  3479.196       8.084458       4.542188      0.4752130       3.633266    
  3488.082       8.098216       4.556934      0.4680170       2.597845    
  3497.537       8.112889       4.572609      0.4604270       1.508627    
  3498.610       8.106186       4.569563      0.4576258      0.8843563    
  3497.049       8.092653       4.560450      0.4571508      0.3869355    
  3495.533       8.080553       4.552398                NaN            NaN
  3494.894       8.075871       4.549624                NaN            NaN
  3494.243       8.070993       4.546804                NaN            NaN
  3493.835       8.066413       4.544268                NaN            NaN
  3493.286       8.061780       4.541614                NaN            NaN
  3493.144       8.057881       4.539590                NaN            NaN
  3492.517       8.053242       4.536891                NaN            NaN
  3491.772       8.048346       4.534025                NaN            NaN
  3492.407       8.045739       4.533128                NaN            NaN
  3492.661       8.042485       4.531777                NaN            NaN
  3492.958       8.039676       4.530643                NaN            NaN
  3493.374       8.037045       4.529650                NaN            NaN
  3492.899       8.032559       4.527223                NaN            NaN
  3493.868       8.030809       4.527133                NaN            NaN
  3495.711       8.030721       4.528494                NaN            NaN
  3500.062       8.035795       4.534139                NaN            NaN
  3502.079       8.036440       4.536035                NaN            NaN
  3502.654       8.034164       4.535570                NaN            NaN
  3506.446       8.038429       4.540621                NaN            NaN
  3510.192       8.042685       4.545738                NaN            NaN
  3515.653       8.050405       4.553955                NaN            NaN
  3517.775       8.051580       4.556523                NaN            NaN
  3516.236       8.045168       4.552643                NaN            NaN
  3514.723       8.038876       4.548841                NaN            NaN
  3513.209       8.032555       4.545037                NaN            NaN
  3511.758       8.026574       4.541418                NaN            NaN
  3510.250       8.020314       4.537641                NaN            NaN
  3508.711       8.013878       4.533781                NaN            NaN
  3507.216       8.007712       4.530059                NaN            NaN
  3505.736       8.001613       4.526368                NaN            NaN
  3504.299       7.995690       4.522804                NaN            NaN
  3502.805       7.989540       4.519094                NaN            NaN
  3501.244       7.983088       4.515218                NaN            NaN
  3499.809       7.977192       4.511668                NaN            NaN
  3498.347       7.971182       4.508073                NaN            NaN
  3496.870       7.965052       4.504445                NaN            NaN
  3495.532       7.959628       4.501134                NaN            NaN
  3494.003       7.953392       4.497391                NaN            NaN
  3492.572       7.947457       4.493888                NaN            NaN
  3491.137       7.941610       4.490366                NaN            NaN
  3489.757       7.935960       4.486992                NaN            NaN
  3488.360       7.930247       4.483589                NaN            NaN
  3487.085       7.924869       4.480437                NaN            NaN
  3487.524       7.977394       4.520774                NaN            NaN
  3486.448       7.983345       4.526229                NaN            NaN
  3485.081       7.977694       4.522845                NaN            NaN
  3485.675       7.979307       4.523856                NaN            NaN
  3466.592       7.881012       4.503499                NaN            NaN
  3465.210       7.874493       4.500400                NaN            NaN
  3463.721       7.867546       4.497062                NaN            NaN
  3462.359       7.861072       4.494040                NaN            NaN
  3460.870       7.853999       4.490709                NaN            NaN
  3459.560       7.847649       4.487823                NaN            NaN
  3458.121       7.840713       4.484640                NaN            NaN
  3456.688       7.833725       4.481462                NaN            NaN
  3455.282       7.826922       4.478414                NaN            NaN
  3453.924       7.820099       4.475437                NaN            NaN
  3452.521       7.813095       4.472385                NaN            NaN
  3451.207       7.806180       4.469485                NaN            NaN
  3449.803       7.799068       4.466479                NaN            NaN
  3448.438       7.791834       4.463517                NaN            NaN
  3447.040       7.784344       4.460479                NaN            NaN
  3445.723       7.777160       4.457685                NaN            NaN
  3444.358       7.769508       4.454753                NaN            NaN
  3426.914       7.943554       4.416453      0.7754093       6.589504    
  3426.073       7.942816       4.414926      0.7642426       6.587791    
  3425.289       7.939573       4.412559      0.7642426       6.588969    
  3424.583       7.939684       4.411517      0.7538204       6.587350    
  3423.794       7.936439       4.409154      0.7538204       6.588521    
  3422.966       7.935938       4.407803      0.7426537       6.587201    
  3422.062       7.934565       4.406086      0.7314871       6.585940    
  3421.264       7.931319       4.403731      0.7314871       6.587098    
  3420.363       7.930122       4.402022      0.7201134       6.585612    
  3419.560       7.926872       4.399669      0.7201134       6.586766    
  3418.658       7.925692       4.398013      0.7084093       6.585369    
  3417.849       7.922438       4.395664      0.7084093       6.586517    
  3416.974       7.921454       4.394104      0.6964982       6.585160    
  3416.042       7.919995       4.392335      0.6853315       6.583937    
  3415.226       7.916738       4.389992      0.6853315       6.585072    
  3414.235       7.914756       4.387967      0.6720183       6.583726    
  3413.415       7.911494       4.385626      0.6720183       6.584856    
  3412.414       7.909740       4.383680      0.6600204       6.584018    
  3411.389       7.907531       4.381495      0.6473648       6.582582    
  3410.406       7.903745       4.378711      0.6421537       6.582852    
  3415.396       7.929529       4.395920      0.6464846       6.595920    
  3415.714       7.930073       4.396611      0.6473648       6.597418    
  3420.249       7.943759       4.408822      0.6406648       6.613538    
  3426.669       7.963254       4.425875      0.6317315       6.622249    
  3425.848       7.959933       4.423555      0.6317315       6.623333    
  3433.489       7.983397       4.443863      0.6257759       6.633960    
  3439.350       8.000786       4.459471      0.6357186       6.641599    
  3444.891       8.017732       4.474095       0.000000       6.645760    
  3451.387       8.037522       4.491249       0.000000       6.648588    
  3459.206       8.056902       4.508951      0.4910129       6.286089    
  3468.684       8.072526       4.524972      0.4856190       5.182007    
  3477.071       8.086106       4.539435      0.4782947       4.244429    
  3486.701       8.099532       4.554615      0.4703046       3.026400    
  3495.756       8.113917       4.569841      0.4628801       2.001936    
  3500.856       8.117463       4.575853      0.4573391       1.159409    
  3499.334       8.104132       4.566887      0.4565209      0.6702200    
